stationenNummerS,latitude,longitude,bundesStaat
423630,28.16,-89.22,LA
690014,32.35,-106.367,NM
690020,36.0,-121.233,CA
690070,36.683,-121.767,CA
690090,30.433,-86.717,FL
690110,42.608,-82.835,MI
690138,35.417,-80.15,NC
690140,33.667,-117.733,CA
690150,34.3,-116.167,CA
690150,34.3,-116.167,CA
690170,36.533,-115.567,NV
690174,36.533,-115.567,NV
690190,32.417,-99.85,TX
690190,32.433,-99.85,TX
690200,35.25,-76.167,NC
690210,35.9,-76.0,NC
690220,35.983,-76.5,NC
690230,48.35,-122.667,WA
690240,47.217,-124.2,WA
690250,36.1,-75.75,NC
690260,45.65,-84.467,MI
690280,26.067,-97.167,TX
690290,27.833,-97.067,TX
690310,32.833,-114.4,AZ
690320,48.983,-122.733,WA
690330,45.667,-121.533,OR
690500,35.167,-94.2,AR
690524,30.417,-86.667,FL
690584,33.067,-115.067,CA
691164,34.683,-86.683,AL
691174,39.467,-76.167,MD
691324,35.15,-78.9,NC
691334,41.05,-113.067,UT
691414,33.267,-115.417,CA
691484,47.617,-117.667,WA
691774,64.833,-147.6,AK
691804,29.967,-81.983,FL
692364,39.417,-118.7,NV
692494,35.333,-117.1,CA
692534,36.667,87.5,KY
692584,36.583,-115.667,NV
692644,39.05,-85.617,IN
692694,35.283,-116.35,CA
692704,32.033,-81.667,GA
692754,30.417,-86.667,FL
692764,30.417,-86.667,FL
692784,58.667,-156.65,AK
693254,30.417,-86.667,FL
694300,41.05,-113.067,UT
694604,64.721,-146.529,AK
695414,35.267,-116.367,CA
696334,32.417,-105.993,NM
696454,32.533,-114.517,AZ
696464,32.5,-114.15,AZ
697534,35.283,-116.617,CA
697564,32.733,-113.633,AZ
698114,34.3,-116.15,CA
698324,34.683,-77.033,NC
698414,40.5,-103.833,CO
699604,32.65,-114.617,AZ
700001,60.783,-148.833,AK
700001,60.785,-148.839,AK
700197,66.6,-159.986,AK
700197,66.617,-160.0,AK
700260,71.283,-156.782,AK
700264,71.317,-155.217,AK
700265,71.333,-156.633,AK
700271,71.333,-156.65,AK
700300,70.617,-159.85,AK
700300,70.639,-159.995,AK
700300,70.617,-159.85,AK
700365,69.367,-148.7,AK
700450,70.917,-153.25,AK
700450,70.917,-153.233,AK
700630,70.5,-149.883,AK
700630,70.5,-149.88,AK
700631,57.067,-135.367,AK
700631,52.22,-174.206,AK
700632,65.983,-161.133,AK
700632,65.983,-161.15,AK
700634,70.317,-149.583,AK
700634,70.331,-149.598,AK
700635,68.479,-149.49,AK
700635,68.483,-149.483,AK
700636,70.25,-148.333,AK
700637,70.192,-148.477,AK
700638,54.85,-163.417,AK
700639,69.167,-148.817,AK
700860,70.134,-143.577,AK
700860,70.133,-143.633,AK
700863,70.134,-143.577,AK
700865,70.133,-143.583,AK
700866,70.233,-146.5,AK
700867,69.717,-148.683,AK
700868,68.183,-149.417,AK
700869,68.067,-149.583,AK
701040,68.867,-166.133,AK
701040,68.883,-166.133,AK
701043,68.35,-166.8,AK
701043,68.35,-166.8,AK
701045,68.031,-162.903,AK
